onset	duration	trial_type	experiment_name	participant	block_order	run_accuracy_hard	run_accuracy_easy
0	16	fixation	spWMLoc	SAXE_NES2_s007	2	0.6666666666666666	0.4583333333333333
16	32	hard	spWMLoc	SAXE_NES2_s007	2	0.6666666666666666	0.4583333333333333
48	32	easy	spWMLoc	SAXE_NES2_s007	2	0.6666666666666666	0.4583333333333333
80	32	easy	spWMLoc	SAXE_NES2_s007	2	0.6666666666666666	0.4583333333333333
112	32	hard	spWMLoc	SAXE_NES2_s007	2	0.6666666666666666	0.4583333333333333
144	16	fixation	spWMLoc	SAXE_NES2_s007	2	0.6666666666666666	0.4583333333333333
160	32	easy	spWMLoc	SAXE_NES2_s007	2	0.6666666666666666	0.4583333333333333
192	32	hard	spWMLoc	SAXE_NES2_s007	2	0.6666666666666666	0.4583333333333333
224	32	hard	spWMLoc	SAXE_NES2_s007	2	0.6666666666666666	0.4583333333333333
256	32	easy	spWMLoc	SAXE_NES2_s007	2	0.6666666666666666	0.4583333333333333
288	16	fixation	spWMLoc	SAXE_NES2_s007	2	0.6666666666666666	0.4583333333333333
304	32	hard	spWMLoc	SAXE_NES2_s007	2	0.6666666666666666	0.4583333333333333
336	32	easy	spWMLoc	SAXE_NES2_s007	2	0.6666666666666666	0.4583333333333333
368	32	easy	spWMLoc	SAXE_NES2_s007	2	0.6666666666666666	0.4583333333333333
400	32	hard	spWMLoc	SAXE_NES2_s007	2	0.6666666666666666	0.4583333333333333
432	16	fixation	spWMLoc	SAXE_NES2_s007	2	0.6666666666666666	0.4583333333333333
