onset	duration	trial_type	experiment_name	participant	block_order	event
0.0	10.0	rest	MotionLoc	SAXE_NES2_s018b	2	0
10.01	11.8	coherent	MotionLoc	SAXE_NES2_s018b	2	1
21.859	11.8	incoherent	MotionLoc	SAXE_NES2_s018b	2	2
33.704	11.8	coherent	MotionLoc	SAXE_NES2_s018b	2	3
45.552	11.8	incoherent	MotionLoc	SAXE_NES2_s018b	2	4
57.397	11.8	coherent	MotionLoc	SAXE_NES2_s018b	2	5
69.248	11.8	incoherent	MotionLoc	SAXE_NES2_s018b	2	6
81.09	11.8	coherent	MotionLoc	SAXE_NES2_s018b	2	7
92.933	11.8	incoherent	MotionLoc	SAXE_NES2_s018b	2	8
104.78	11.8	coherent	MotionLoc	SAXE_NES2_s018b	2	9
116.63	11.8	incoherent	MotionLoc	SAXE_NES2_s018b	2	10
128.47	11.8	coherent	MotionLoc	SAXE_NES2_s018b	2	11
140.29	11.8	incoherent	MotionLoc	SAXE_NES2_s018b	2	12
152.13	11.8	coherent	MotionLoc	SAXE_NES2_s018b	2	13
163.98	11.8	incoherent	MotionLoc	SAXE_NES2_s018b	2	14
175.82	11.8	coherent	MotionLoc	SAXE_NES2_s018b	2	15
187.67	11.8	incoherent	MotionLoc	SAXE_NES2_s018b	2	16
199.52	11.8	coherent	MotionLoc	SAXE_NES2_s018b	2	17
211.36	11.8	incoherent	MotionLoc	SAXE_NES2_s018b	2	18
223.21	11.8	coherent	MotionLoc	SAXE_NES2_s018b	2	19
235.05	11.8	incoherent	MotionLoc	SAXE_NES2_s018b	2	20
246.9	11.8	coherent	MotionLoc	SAXE_NES2_s018b	2	21
258.74	11.8	incoherent	MotionLoc	SAXE_NES2_s018b	2	22
