onset	duration	trial_type	experiment_name	participant	block_order	event
0.0	10.0	rest	MotionLoc	SAXE_NES2_s028	2	0
10.009	11.8	coherent	MotionLoc	SAXE_NES2_s028	2	1
21.85	11.8	incoherent	MotionLoc	SAXE_NES2_s028	2	2
33.683	11.8	coherent	MotionLoc	SAXE_NES2_s028	2	3
45.519	11.8	incoherent	MotionLoc	SAXE_NES2_s028	2	4
57.355	11.8	coherent	MotionLoc	SAXE_NES2_s028	2	5
69.191	11.8	incoherent	MotionLoc	SAXE_NES2_s028	2	6
81.028	11.8	coherent	MotionLoc	SAXE_NES2_s028	2	7
92.864	11.8	incoherent	MotionLoc	SAXE_NES2_s028	2	8
104.7	11.8	coherent	MotionLoc	SAXE_NES2_s028	2	9
116.54	11.8	incoherent	MotionLoc	SAXE_NES2_s028	2	10
128.37	11.8	coherent	MotionLoc	SAXE_NES2_s028	2	11
140.21	11.8	incoherent	MotionLoc	SAXE_NES2_s028	2	12
152.04	11.8	coherent	MotionLoc	SAXE_NES2_s028	2	13
163.88	11.8	incoherent	MotionLoc	SAXE_NES2_s028	2	14
175.72	11.8	coherent	MotionLoc	SAXE_NES2_s028	2	15
187.55	11.8	incoherent	MotionLoc	SAXE_NES2_s028	2	16
199.39	11.8	coherent	MotionLoc	SAXE_NES2_s028	2	17
211.23	11.8	incoherent	MotionLoc	SAXE_NES2_s028	2	18
223.06	11.8	coherent	MotionLoc	SAXE_NES2_s028	2	19
234.9	11.8	incoherent	MotionLoc	SAXE_NES2_s028	2	20
246.73	11.8	coherent	MotionLoc	SAXE_NES2_s028	2	21
258.57	11.8	incoherent	MotionLoc	SAXE_NES2_s028	2	22
