onset	duration	trial_type	experiment_name	participant	block_order	run_accuracy_hard	run_accuracy_easy
0	16	fixation	spWMLoc	SAXE_NES2_s026	2	0.875	1
16	32	hard	spWMLoc	SAXE_NES2_s026	2	0.875	1
48	32	easy	spWMLoc	SAXE_NES2_s026	2	0.875	1
80	32	easy	spWMLoc	SAXE_NES2_s026	2	0.875	1
112	32	hard	spWMLoc	SAXE_NES2_s026	2	0.875	1
144	16	fixation	spWMLoc	SAXE_NES2_s026	2	0.875	1
160	32	easy	spWMLoc	SAXE_NES2_s026	2	0.875	1
192	32	hard	spWMLoc	SAXE_NES2_s026	2	0.875	1
224	32	hard	spWMLoc	SAXE_NES2_s026	2	0.875	1
256	32	easy	spWMLoc	SAXE_NES2_s026	2	0.875	1
288	16	fixation	spWMLoc	SAXE_NES2_s026	2	0.875	1
304	32	hard	spWMLoc	SAXE_NES2_s026	2	0.875	1
336	32	easy	spWMLoc	SAXE_NES2_s026	2	0.875	1
368	32	easy	spWMLoc	SAXE_NES2_s026	2	0.875	1
400	32	hard	spWMLoc	SAXE_NES2_s026	2	0.875	1
432	16	fixation	spWMLoc	SAXE_NES2_s026	2	0.875	1
