onset	duration	trial_type	experiment_name	participant	block_order	run_accuracy_hard	run_accuracy_easy
0	16	fixation	spWMLoc	SAXE_NES2_s025	2	0.875	0.875
16	32	hard	spWMLoc	SAXE_NES2_s025	2	0.875	0.875
48	32	easy	spWMLoc	SAXE_NES2_s025	2	0.875	0.875
80	32	easy	spWMLoc	SAXE_NES2_s025	2	0.875	0.875
112	32	hard	spWMLoc	SAXE_NES2_s025	2	0.875	0.875
144	16	fixation	spWMLoc	SAXE_NES2_s025	2	0.875	0.875
160	32	easy	spWMLoc	SAXE_NES2_s025	2	0.875	0.875
192	32	hard	spWMLoc	SAXE_NES2_s025	2	0.875	0.875
224	32	hard	spWMLoc	SAXE_NES2_s025	2	0.875	0.875
256	32	easy	spWMLoc	SAXE_NES2_s025	2	0.875	0.875
288	16	fixation	spWMLoc	SAXE_NES2_s025	2	0.875	0.875
304	32	hard	spWMLoc	SAXE_NES2_s025	2	0.875	0.875
336	32	easy	spWMLoc	SAXE_NES2_s025	2	0.875	0.875
368	32	easy	spWMLoc	SAXE_NES2_s025	2	0.875	0.875
400	32	hard	spWMLoc	SAXE_NES2_s025	2	0.875	0.875
432	16	fixation	spWMLoc	SAXE_NES2_s025	2	0.875	0.875
