onset	duration	trial_type	experiment_name	participant	block_order	run_accuracy_hard	run_accuracy_easy
0	16	fixation	spWMLoc	SAXE_NES2_s021	2	0.9166666666666666	0.9166666666666666
16	32	hard	spWMLoc	SAXE_NES2_s021	2	0.9166666666666666	0.9166666666666666
48	32	easy	spWMLoc	SAXE_NES2_s021	2	0.9166666666666666	0.9166666666666666
80	32	easy	spWMLoc	SAXE_NES2_s021	2	0.9166666666666666	0.9166666666666666
112	32	hard	spWMLoc	SAXE_NES2_s021	2	0.9166666666666666	0.9166666666666666
144	16	fixation	spWMLoc	SAXE_NES2_s021	2	0.9166666666666666	0.9166666666666666
160	32	easy	spWMLoc	SAXE_NES2_s021	2	0.9166666666666666	0.9166666666666666
192	32	hard	spWMLoc	SAXE_NES2_s021	2	0.9166666666666666	0.9166666666666666
224	32	hard	spWMLoc	SAXE_NES2_s021	2	0.9166666666666666	0.9166666666666666
256	32	easy	spWMLoc	SAXE_NES2_s021	2	0.9166666666666666	0.9166666666666666
288	16	fixation	spWMLoc	SAXE_NES2_s021	2	0.9166666666666666	0.9166666666666666
304	32	hard	spWMLoc	SAXE_NES2_s021	2	0.9166666666666666	0.9166666666666666
336	32	easy	spWMLoc	SAXE_NES2_s021	2	0.9166666666666666	0.9166666666666666
368	32	easy	spWMLoc	SAXE_NES2_s021	2	0.9166666666666666	0.9166666666666666
400	32	hard	spWMLoc	SAXE_NES2_s021	2	0.9166666666666666	0.9166666666666666
432	16	fixation	spWMLoc	SAXE_NES2_s021	2	0.9166666666666666	0.9166666666666666
