onset	duration	trial_type	experiment_name	participant	block_order	event
0.0	10.0	rest	MotionLoc	SAXE_NES2_s021	2	0
10.008	11.8	coherent	MotionLoc	SAXE_NES2_s021	2	1
21.847	11.8	incoherent	MotionLoc	SAXE_NES2_s021	2	2
33.692	11.8	coherent	MotionLoc	SAXE_NES2_s021	2	3
45.538	11.8	incoherent	MotionLoc	SAXE_NES2_s021	2	4
57.352	11.8	coherent	MotionLoc	SAXE_NES2_s021	2	5
69.197	11.8	incoherent	MotionLoc	SAXE_NES2_s021	2	6
81.044	11.8	coherent	MotionLoc	SAXE_NES2_s021	2	7
92.89	11.8	incoherent	MotionLoc	SAXE_NES2_s021	2	8
104.74	11.8	coherent	MotionLoc	SAXE_NES2_s021	2	9
116.58	11.8	incoherent	MotionLoc	SAXE_NES2_s021	2	10
128.43	11.8	coherent	MotionLoc	SAXE_NES2_s021	2	11
140.28	11.8	incoherent	MotionLoc	SAXE_NES2_s021	2	12
152.12	11.8	coherent	MotionLoc	SAXE_NES2_s021	2	13
163.97	11.8	incoherent	MotionLoc	SAXE_NES2_s021	2	14
175.81	11.8	coherent	MotionLoc	SAXE_NES2_s021	2	15
187.66	11.8	incoherent	MotionLoc	SAXE_NES2_s021	2	16
199.51	11.8	coherent	MotionLoc	SAXE_NES2_s021	2	17
211.35	11.8	incoherent	MotionLoc	SAXE_NES2_s021	2	18
223.2	11.8	coherent	MotionLoc	SAXE_NES2_s021	2	19
235.03	11.8	incoherent	MotionLoc	SAXE_NES2_s021	2	20
246.87	11.8	coherent	MotionLoc	SAXE_NES2_s021	2	21
258.72	11.8	incoherent	MotionLoc	SAXE_NES2_s021	2	22
