onset	duration	trial_type	experiment_name	participant	block_order	event
0.0	10.0	rest	MotionLoc	SAXE_NES2_s032	2	0
10.009	11.8	coherent	MotionLoc	SAXE_NES2_s032	2	1
21.85	11.8	incoherent	MotionLoc	SAXE_NES2_s032	2	2
33.689	11.8	coherent	MotionLoc	SAXE_NES2_s032	2	3
45.534	11.8	incoherent	MotionLoc	SAXE_NES2_s032	2	4
57.381	11.8	coherent	MotionLoc	SAXE_NES2_s032	2	5
69.227	11.8	incoherent	MotionLoc	SAXE_NES2_s032	2	6
81.073	11.8	coherent	MotionLoc	SAXE_NES2_s032	2	7
92.919	11.8	incoherent	MotionLoc	SAXE_NES2_s032	2	8
104.77	11.8	coherent	MotionLoc	SAXE_NES2_s032	2	9
116.61	11.8	incoherent	MotionLoc	SAXE_NES2_s032	2	10
128.46	11.8	coherent	MotionLoc	SAXE_NES2_s032	2	11
140.3	11.8	incoherent	MotionLoc	SAXE_NES2_s032	2	12
152.13	11.8	coherent	MotionLoc	SAXE_NES2_s032	2	13
163.98	11.8	incoherent	MotionLoc	SAXE_NES2_s032	2	14
175.83	11.8	coherent	MotionLoc	SAXE_NES2_s032	2	15
187.67	11.8	incoherent	MotionLoc	SAXE_NES2_s032	2	16
199.52	11.8	coherent	MotionLoc	SAXE_NES2_s032	2	17
211.36	11.8	incoherent	MotionLoc	SAXE_NES2_s032	2	18
223.19	11.8	coherent	MotionLoc	SAXE_NES2_s032	2	19
235.04	11.8	incoherent	MotionLoc	SAXE_NES2_s032	2	20
246.89	11.8	coherent	MotionLoc	SAXE_NES2_s032	2	21
258.73	11.8	incoherent	MotionLoc	SAXE_NES2_s032	2	22
