onset	duration	trial_type	experiment_name	participant	block_order	event
0.0	10.0	rest	MotionLoc	SAXE_NES2_s010	1	0
10.008	11.8	coherent	MotionLoc	SAXE_NES2_s010	1	1
21.848	11.8	incoherent	MotionLoc	SAXE_NES2_s010	1	2
33.698	11.8	coherent	MotionLoc	SAXE_NES2_s010	1	3
45.528	11.8	incoherent	MotionLoc	SAXE_NES2_s010	1	4
57.373	11.8	coherent	MotionLoc	SAXE_NES2_s010	1	5
69.2	11.8	incoherent	MotionLoc	SAXE_NES2_s010	1	6
81.046	11.8	coherent	MotionLoc	SAXE_NES2_s010	1	7
92.894	11.8	incoherent	MotionLoc	SAXE_NES2_s010	1	8
104.74	11.8	coherent	MotionLoc	SAXE_NES2_s010	1	9
116.59	11.8	incoherent	MotionLoc	SAXE_NES2_s010	1	10
128.43	11.8	coherent	MotionLoc	SAXE_NES2_s010	1	11
140.28	11.8	incoherent	MotionLoc	SAXE_NES2_s010	1	12
152.12	11.8	coherent	MotionLoc	SAXE_NES2_s010	1	13
163.97	11.8	incoherent	MotionLoc	SAXE_NES2_s010	1	14
175.82	11.8	coherent	MotionLoc	SAXE_NES2_s010	1	15
187.66	11.8	incoherent	MotionLoc	SAXE_NES2_s010	1	16
199.51	11.8	coherent	MotionLoc	SAXE_NES2_s010	1	17
211.35	11.8	incoherent	MotionLoc	SAXE_NES2_s010	1	18
223.2	11.8	coherent	MotionLoc	SAXE_NES2_s010	1	19
235.05	11.8	incoherent	MotionLoc	SAXE_NES2_s010	1	20
246.89	11.8	coherent	MotionLoc	SAXE_NES2_s010	1	21
258.74	11.8	incoherent	MotionLoc	SAXE_NES2_s010	1	22
