onset	duration	trial_type	experiment_name	participant	block_order	event
0.0	10.0	rest	MotionLoc	SAXE_NES2_s031	1	0
10.01	11.8	coherent	MotionLoc	SAXE_NES2_s031	1	1
21.851	11.8	incoherent	MotionLoc	SAXE_NES2_s031	1	2
33.696	11.8	coherent	MotionLoc	SAXE_NES2_s031	1	3
45.543	11.8	incoherent	MotionLoc	SAXE_NES2_s031	1	4
57.389	11.8	coherent	MotionLoc	SAXE_NES2_s031	1	5
69.235	11.8	incoherent	MotionLoc	SAXE_NES2_s031	1	6
81.065	11.8	coherent	MotionLoc	SAXE_NES2_s031	1	7
92.91	11.8	incoherent	MotionLoc	SAXE_NES2_s031	1	8
104.76	11.8	coherent	MotionLoc	SAXE_NES2_s031	1	9
116.6	11.8	incoherent	MotionLoc	SAXE_NES2_s031	1	10
128.45	11.8	coherent	MotionLoc	SAXE_NES2_s031	1	11
140.29	11.8	incoherent	MotionLoc	SAXE_NES2_s031	1	12
152.14	11.8	coherent	MotionLoc	SAXE_NES2_s031	1	13
163.99	11.8	incoherent	MotionLoc	SAXE_NES2_s031	1	14
175.8	11.8	coherent	MotionLoc	SAXE_NES2_s031	1	15
187.65	11.8	incoherent	MotionLoc	SAXE_NES2_s031	1	16
199.49	11.8	coherent	MotionLoc	SAXE_NES2_s031	1	17
211.34	11.8	incoherent	MotionLoc	SAXE_NES2_s031	1	18
223.19	11.8	coherent	MotionLoc	SAXE_NES2_s031	1	19
235.03	11.8	incoherent	MotionLoc	SAXE_NES2_s031	1	20
246.88	11.8	coherent	MotionLoc	SAXE_NES2_s031	1	21
258.72	11.8	incoherent	MotionLoc	SAXE_NES2_s031	1	22
