onset	duration	trial_type	experiment_name	participant	block_order	event
0.0	10.0	rest	MotionLoc	SAXE_NES2_s005	2	0
10.009	11.8	coherent	MotionLoc	SAXE_NES2_s005	2	1
21.848	11.8	incoherent	MotionLoc	SAXE_NES2_s005	2	2
33.694	11.8	coherent	MotionLoc	SAXE_NES2_s005	2	3
45.54	11.8	incoherent	MotionLoc	SAXE_NES2_s005	2	4
57.387	11.8	coherent	MotionLoc	SAXE_NES2_s005	2	5
69.232	11.8	incoherent	MotionLoc	SAXE_NES2_s005	2	6
81.079	11.8	coherent	MotionLoc	SAXE_NES2_s005	2	7
92.924	11.8	incoherent	MotionLoc	SAXE_NES2_s005	2	8
104.77	11.8	coherent	MotionLoc	SAXE_NES2_s005	2	9
116.62	11.8	incoherent	MotionLoc	SAXE_NES2_s005	2	10
128.46	11.8	coherent	MotionLoc	SAXE_NES2_s005	2	11
140.31	11.8	incoherent	MotionLoc	SAXE_NES2_s005	2	12
152.15	11.8	coherent	MotionLoc	SAXE_NES2_s005	2	13
164.01	11.8	incoherent	MotionLoc	SAXE_NES2_s005	2	14
175.85	11.8	coherent	MotionLoc	SAXE_NES2_s005	2	15
187.69	11.8	incoherent	MotionLoc	SAXE_NES2_s005	2	16
199.54	11.8	coherent	MotionLoc	SAXE_NES2_s005	2	17
211.39	11.8	incoherent	MotionLoc	SAXE_NES2_s005	2	18
223.23	11.8	coherent	MotionLoc	SAXE_NES2_s005	2	19
235.08	11.8	incoherent	MotionLoc	SAXE_NES2_s005	2	20
246.92	11.8	coherent	MotionLoc	SAXE_NES2_s005	2	21
258.77	11.8	incoherent	MotionLoc	SAXE_NES2_s005	2	22
