onset	duration	trial_type	experiment_name	participant	block_order	run_accuracy_hard	run_accuracy_easy
0	16	fixation	spWMLoc	SAXE_NES2_s001	1	0	0
16	32	easy	spWMLoc	SAXE_NES2_s001	1	0	0
48	32	hard	spWMLoc	SAXE_NES2_s001	1	0	0
80	32	hard	spWMLoc	SAXE_NES2_s001	1	0	0
112	32	easy	spWMLoc	SAXE_NES2_s001	1	0	0
144	16	fixation	spWMLoc	SAXE_NES2_s001	1	0	0
160	32	hard	spWMLoc	SAXE_NES2_s001	1	0	0
192	32	easy	spWMLoc	SAXE_NES2_s001	1	0	0
224	32	easy	spWMLoc	SAXE_NES2_s001	1	0	0
256	32	hard	spWMLoc	SAXE_NES2_s001	1	0	0
288	16	fixation	spWMLoc	SAXE_NES2_s001	1	0	0
304	32	easy	spWMLoc	SAXE_NES2_s001	1	0	0
336	32	hard	spWMLoc	SAXE_NES2_s001	1	0	0
368	32	hard	spWMLoc	SAXE_NES2_s001	1	0	0
400	32	easy	spWMLoc	SAXE_NES2_s001	1	0	0
432	16	fixation	spWMLoc	SAXE_NES2_s001	1	0	0
