onset	duration	trial_type	experiment_name	participant	block_order	event
0.0	10.0	rest	MotionLoc	SAXE_NES2_s012	2	0
10.01	11.8	coherent	MotionLoc	SAXE_NES2_s012	2	1
21.858	11.8	incoherent	MotionLoc	SAXE_NES2_s012	2	2
33.679	11.8	coherent	MotionLoc	SAXE_NES2_s012	2	3
45.528	11.8	incoherent	MotionLoc	SAXE_NES2_s012	2	4
57.374	11.8	coherent	MotionLoc	SAXE_NES2_s012	2	5
69.219	11.8	incoherent	MotionLoc	SAXE_NES2_s012	2	6
81.05	11.8	coherent	MotionLoc	SAXE_NES2_s012	2	7
92.896	11.8	incoherent	MotionLoc	SAXE_NES2_s012	2	8
104.74	11.8	coherent	MotionLoc	SAXE_NES2_s012	2	9
116.59	11.8	incoherent	MotionLoc	SAXE_NES2_s012	2	10
128.43	11.8	coherent	MotionLoc	SAXE_NES2_s012	2	11
140.28	11.8	incoherent	MotionLoc	SAXE_NES2_s012	2	12
152.13	11.8	coherent	MotionLoc	SAXE_NES2_s012	2	13
163.97	11.8	incoherent	MotionLoc	SAXE_NES2_s012	2	14
175.82	11.8	coherent	MotionLoc	SAXE_NES2_s012	2	15
187.65	11.8	incoherent	MotionLoc	SAXE_NES2_s012	2	16
199.49	11.8	coherent	MotionLoc	SAXE_NES2_s012	2	17
211.31	11.8	incoherent	MotionLoc	SAXE_NES2_s012	2	18
223.16	11.8	coherent	MotionLoc	SAXE_NES2_s012	2	19
235.0	11.8	incoherent	MotionLoc	SAXE_NES2_s012	2	20
246.85	11.8	coherent	MotionLoc	SAXE_NES2_s012	2	21
258.69	11.8	incoherent	MotionLoc	SAXE_NES2_s012	2	22
