onset	duration	trial_type	experiment_name	participant	block_order	event
0.0	10.0	rest	MotionLoc	SAXE_NES2_s017	1	0
10.007	11.8	coherent	MotionLoc	SAXE_NES2_s017	1	1
21.852	11.8	incoherent	MotionLoc	SAXE_NES2_s017	1	2
33.697	11.8	coherent	MotionLoc	SAXE_NES2_s017	1	3
45.546	11.8	incoherent	MotionLoc	SAXE_NES2_s017	1	4
57.394	11.8	coherent	MotionLoc	SAXE_NES2_s017	1	5
69.243	11.8	incoherent	MotionLoc	SAXE_NES2_s017	1	6
81.083	11.8	coherent	MotionLoc	SAXE_NES2_s017	1	7
93.098	11.8	incoherent	MotionLoc	SAXE_NES2_s017	1	8
104.94	11.8	coherent	MotionLoc	SAXE_NES2_s017	1	9
116.79	11.8	incoherent	MotionLoc	SAXE_NES2_s017	1	10
128.63	11.8	coherent	MotionLoc	SAXE_NES2_s017	1	11
140.48	11.8	incoherent	MotionLoc	SAXE_NES2_s017	1	12
152.32	11.8	coherent	MotionLoc	SAXE_NES2_s017	1	13
164.17	11.8	incoherent	MotionLoc	SAXE_NES2_s017	1	14
176.02	11.8	coherent	MotionLoc	SAXE_NES2_s017	1	15
187.85	11.8	incoherent	MotionLoc	SAXE_NES2_s017	1	16
199.69	11.8	coherent	MotionLoc	SAXE_NES2_s017	1	17
211.54	11.8	incoherent	MotionLoc	SAXE_NES2_s017	1	18
223.39	11.8	coherent	MotionLoc	SAXE_NES2_s017	1	19
235.23	11.8	incoherent	MotionLoc	SAXE_NES2_s017	1	20
247.08	11.8	coherent	MotionLoc	SAXE_NES2_s017	1	21
258.92	11.8	incoherent	MotionLoc	SAXE_NES2_s017	1	22
