onset	duration	trial_type	experiment_name	participant	block_order	run_accuracy_hard	run_accuracy_easy
0	16	fixation	spWMLoc	SAXE_NES2_s024	2	0.7083333333333334	0.625
16	32	hard	spWMLoc	SAXE_NES2_s024	2	0.7083333333333334	0.625
48	32	easy	spWMLoc	SAXE_NES2_s024	2	0.7083333333333334	0.625
80	32	easy	spWMLoc	SAXE_NES2_s024	2	0.7083333333333334	0.625
112	32	hard	spWMLoc	SAXE_NES2_s024	2	0.7083333333333334	0.625
144	16	fixation	spWMLoc	SAXE_NES2_s024	2	0.7083333333333334	0.625
160	32	easy	spWMLoc	SAXE_NES2_s024	2	0.7083333333333334	0.625
192	32	hard	spWMLoc	SAXE_NES2_s024	2	0.7083333333333334	0.625
224	32	hard	spWMLoc	SAXE_NES2_s024	2	0.7083333333333334	0.625
256	32	easy	spWMLoc	SAXE_NES2_s024	2	0.7083333333333334	0.625
288	16	fixation	spWMLoc	SAXE_NES2_s024	2	0.7083333333333334	0.625
304	32	hard	spWMLoc	SAXE_NES2_s024	2	0.7083333333333334	0.625
336	32	easy	spWMLoc	SAXE_NES2_s024	2	0.7083333333333334	0.625
368	32	easy	spWMLoc	SAXE_NES2_s024	2	0.7083333333333334	0.625
400	32	hard	spWMLoc	SAXE_NES2_s024	2	0.7083333333333334	0.625
432	16	fixation	spWMLoc	SAXE_NES2_s024	2	0.7083333333333334	0.625
